path,area,name_pattern,size_bytes,mutability,referenced_by
.claude/skills/vue-debug-guides/reference/composition-api-script-setup-async-context.md,.claude,composition-api-script-setup-async-context.md,5360,unknown,1
.claude/skills/vue-debug-guides/reference/composition-api-vs-react-hooks-differences.md,.claude,composition-api-vs-react-hooks-differences.md,4909,unknown,1
.claude/skills/vue-debug-guides/reference/computed-array-mutation.md,.claude,computed-array-mutation.md,4372,unknown,1
.claude/skills/vue-debug-guides/reference/computed-conditional-dependencies.md,.claude,computed-conditional-dependencies.md,4379,unknown,1
.claude/skills/vue-debug-guides/reference/computed-no-parameters.md,.claude,computed-no-parameters.md,4490,unknown,1
.claude/skills/vue-debug-guides/reference/computed-no-side-effects.md,.claude,computed-no-side-effects.md,3289,unknown,1
.claude/skills/vue-debug-guides/reference/computed-return-value-readonly.md,.claude,computed-return-value-readonly.md,4096,unknown,1
.claude/skills/vue-debug-guides/reference/configure-app-before-mount.md,.claude,configure-app-before-mount.md,2776,unknown,1
.claude/skills/vue-debug-guides/reference/declare-emits-for-documentation.md,.claude,declare-emits-for-documentation.md,5121,unknown,1
.claude/skills/vue-debug-guides/reference/define-expose-before-await.md,.claude,define-expose-before-await.md,4288,unknown,1
.claude/skills/vue-debug-guides/reference/define-model-default-value-sync.md,.claude,define-model-default-value-sync.md,4046,unknown,1
.claude/skills/vue-debug-guides/reference/defineEmits-must-be-top-level.md,.claude,defineEmits-must-be-top-level.md,4156,unknown,1
.claude/skills/vue-debug-guides/reference/defineEmits-no-runtime-and-type-mixed.md,.claude,defineEmits-no-runtime-and-type-mixed.md,4342,unknown,1
